index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,,,3,3,,
6,5,,12,,3,,3,
7,,8,13,1,,3,3,3
8,7,9,14,2,3,3,3,3
9,8,10,15,3,3,3,3,3
10,9,,,4,3,,,3
11,,12,,,,3,,
12,11,,18,6,3,,3,3
13,,,19,7,,,3,3
14,,,,8,,,,3
15,,16,21,9,,3,3,3
16,15,,22,,3,,3,
17,,,23,,,,3,
18,,,,12,,,,3
19,,,25,13,,,3,3
20,,21,26,,,3,3,
21,20,22,,15,3,3,,3
22,21,,28,16,3,,3,3
23,,,29,17,,,3,3
24,,,30,,,,3,
25,,,,19,,,,3
26,,,32,20,,,3,3
27,,,33,,,,3,
28,,29,34,22,,3,3,3
29,28,,,23,3,,,3
30,,,36,24,,,3,3
31,,32,,,,3,,
32,31,33,,26,3,3,,3
33,32,,,27,3,,,3
34,,35,,28,,3,,3
35,34,36,,,3,3,,
36,35,,,30,3,,,3
