index,North,South,West,East,ND,SD,WD,ED
1,,,8,,,,3,
2,,3,,,,3,,
3,2,4,10,,3,3,3,
4,3,,,,3,,,
5,,6,12,,,3,3,
6,5,7,,,3,3,,
7,6,,,,3,,,
8,,9,,1,,3,,3
9,8,10,,,3,3,,
10,9,,17,3,3,,3,3
11,,,18,,,,3,
12,,,19,5,,,3,3
13,,14,20,,,3,3,
14,13,,21,,3,,3,
15,,,22,,,,3,
16,,,23,,,,3,
17,,18,,10,,3,,3
18,17,19,25,11,3,3,3,3
19,18,20,,12,3,3,,3
20,19,21,27,13,3,3,3,3
21,20,,,14,3,,,3
22,,23,,15,,3,,3
23,22,,30,16,3,,3,3
24,,25,,,,3,,
25,24,26,,18,3,3,,3
26,25,,,,3,,,
27,,28,34,20,,3,3,3
28,27,,35,,3,,3,
29,,,36,,,,3,
30,,,37,23,,,3,3
31,,,38,,,,3,
32,,33,39,,,3,3,
33,32,,,,3,,,
34,,,,27,,,,3
35,,,42,28,,,3,3
36,,37,43,29,,3,3,3
37,36,38,,30,3,3,,3
38,37,39,,31,3,3,,3
39,38,40,,32,3,3,,3
40,39,41,47,,3,3,3,
41,40,,48,,3,,3,
42,,,49,35,,,3,3
43,,,50,36,,,3,3
44,,45,,,,3,,
45,44,46,52,,3,3,3,
46,45,47,53,,3,3,3,
47,46,,54,40,3,,3,3
48,,,,41,,,,3
49,,,56,42,,,3,3
50,,51,,43,,3,,3
51,50,52,,,3,3,,
52,51,53,,45,3,3,,3
53,52,54,,46,3,3,,3
54,53,55,,47,3,3,,3
55,54,56,,,3,3,,
56,55,,,49,3,,,3
