index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,,9,,3,,3,
3,,4,10,,,3,3,
4,3,5,,,3,3,,
5,4,6,12,,3,3,3,
6,5,7,,,3,3,,
7,6,,14,,3,,3,
8,,9,15,,,3,3,
9,8,,,2,3,,,3
10,,11,,3,,3,,3
11,10,12,18,,3,3,3,
12,11,,,5,3,,,3
13,,14,,,,3,,
14,13,,,7,3,,,3
15,,16,22,8,,3,3,3
16,15,,,,3,,,
17,,18,24,,,3,3,
18,17,19,,11,3,3,,3
19,18,20,,,3,3,,
20,19,21,27,,3,3,3,
21,20,,28,,3,,3,
22,,,29,15,,,3,3
23,,24,30,,,3,3,
24,23,25,,17,3,3,,3
25,24,26,32,,3,3,3,
26,25,,,,3,,,
27,,,34,20,,,3,3
28,,,35,21,,,3,3
29,,30,36,22,,3,3,3
30,29,31,37,23,3,3,3,3
31,30,,,,3,,,
32,,33,,25,,3,,3
33,32,34,,,3,3,,
34,33,,,27,3,,,3
35,,,,28,,,,3
36,,37,,29,,3,,3
37,36,38,,30,3,3,,3
38,37,,45,,3,,3,
39,,,46,,,,3,
40,,41,47,,,3,3,
41,40,,,,3,,,
42,,,49,,,,3,
43,,44,,,,3,,
44,43,,51,,3,,3,
45,,46,52,38,,3,3,3
46,45,,53,39,3,,3,3
47,,48,54,40,,3,3,3
48,47,49,,,3,3,,
49,48,,,42,3,,,3
50,,51,,,,3,,
51,50,52,,44,3,3,,3
52,51,,,45,3,,,3
53,,54,,46,,3,,3
54,53,55,,47,3,3,,3
55,54,56,,,3,3,,
56,55,,,,3,,,
